SYMBOL,"OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 01-Apr-2021","30 D % CHNG 
 02-Mar-2022"
NTPC,138,143.45,136.8,135,142.8,7.8,5.78,32589741,"4,59,02,65,019.85",152.1,97.05,32.48,9.16
BPCL,361.55,375,361.55,359.35,374.65,15.3,4.26,6386165,"2,36,30,08,773.30",503,331.1,-14.4,9.44
POWERGRID,216.1,225.75,216.1,216.8,225.45,8.65,3.99,29747971,"6,63,64,74,850.39",225.75,148.88,2.9,6.71
INDUSINDBK,929.45,970.95,929.15,935.4,968,32.6,3.49,5222165,"4,99,53,14,152.40","1,242.00",811,-2.49,6.87
HDFC,"2,363.20","2,464.70","2,349.00","2,390.40","2,462.25",71.85,3.01,2651324,"6,41,31,55,057.40","3,021.10","2,046.00",-3.13,7.65
SBIN,491,509.75,491,493.55,508,14.45,2.93,18527226,"9,32,60,49,751.62",549,321.3,37.11,7.16
HDFCBANK,"1,476.40","1,510.00","1,470.30","1,470.35","1,507.50",37.15,2.53,7284278,"10,88,79,56,012.16","1,725.00","1,292.00",1.29,9.59
HDFCLIFE,538,551.4,536.4,538.2,551.1,12.9,2.4,3675121,"2,01,10,99,713.62",775.65,497.05,-20.35,-1.86
SHREECEM,"23,995.00","24,651.00","23,951.05","24,032.60","24,598.00",565.4,2.35,34916,"85,16,27,427.00","32,048.00","21,650.00",-17.83,2.84
BAJFINANCE,"7,229.95","7,449.00","7,220.30","7,259.95","7,429.00",169.05,2.33,871513,"6,40,14,80,863.25","8,050.00","4,362.00",40.51,8.44
ONGC,163.9,168.25,163.55,163.9,167.7,3.8,2.32,28335224,"4,69,74,13,434.72",194.95,97.45,60.95,3.07
M&M,811,829.5,807.7,806.55,825.2,18.65,2.31,3406177,"2,78,93,52,407.07",979,671.15,2.35,6.19
BAJAJ-AUTO,"3,636.00","3,746.00","3,636.00","3,653.00","3,733.30",80.3,2.2,391985,"1,45,32,64,788.25","4,347.00","3,027.05",-0.08,10.9
WIPRO,591.7,603.4,589.3,591.9,602.75,10.85,1.83,4283997,"2,55,69,89,289.39",739.85,412.6,44.52,8.39
ITC,250,255.35,248.8,250.65,255.05,4.4,1.76,14305709,"3,59,51,67,728.79",265.3,199.1,15.11,17.65
HINDUNILVR,"2,054.90","2,085.85","2,038.40","2,048.65","2,082.60",33.95,1.66,1714996,"3,54,00,08,993.40","2,859.30","1,901.55",-13.38,-3.3
TATAMOTORS,434,442.25,430.85,433.75,440.9,7.15,1.65,19380324,"8,48,08,29,782.40",536.7,268.45,43.35,-1.44
AXISBANK,760,775.75,755.15,761.15,773.5,12.35,1.62,9321859,"7,14,94,92,978.64",866.9,626.65,8.63,3.24
COALINDIA,183.8,187.25,183.3,183.05,186,2.95,1.61,13505929,"2,51,16,97,616.13",203.8,123.4,40.86,0.73
UPL,770.5,783.5,770.5,769.6,781.55,11.95,1.55,1467955,"1,14,12,90,973.85",864.7,581.3,19.58,13.34
KOTAKBANK,"1,749.30","1,780.00","1,745.60","1,753.85","1,780.00",26.15,1.49,2373773,"4,21,02,89,956.91","2,253.00","1,626.00",-1.55,-1.63
MARUTI,"7,574.00","7,729.00","7,517.35","7,561.30","7,670.00",108.7,1.44,449386,"3,42,94,12,863.38","9,050.00","6,400.00",11.21,-1.46
TATACONSUM,779.95,792.5,779,777.4,788.25,10.85,1.4,3082307,"2,42,85,49,685.30",889,614,21.48,11.08
EICHERMOT,"2,457.15","2,494.75","2,422.00","2,457.15","2,486.85",29.7,1.21,745769,"1,83,90,43,980.93","2,994.00","2,159.55",-5.7,-1.07
ADANIPORTS,774.5,790.7,774.5,774.2,783.5,9.3,1.2,6816743,"5,34,74,62,213.78",901,638.1,6.72,10.62
LT,"1,759.00","1,794.00","1,759.00","1,767.65","1,786.20",18.55,1.05,2050573,"3,64,78,87,344.08","2,078.55","1,306.00",23.92,0.31
ASIANPAINT,"3,110.00","3,121.00","3,087.65","3,079.95","3,112.20",32.25,1.05,637392,"1,97,79,22,984.80","3,590.00","2,484.50",22.04,2.81
RELIANCE,"2,636.00","2,665.15","2,622.00","2,634.75","2,661.00",26.25,1,3656408,"9,65,82,92,039.76","2,751.35","1,876.70",31.36,10.73
NESTLEIND,"17,380.55","17,607.70","17,250.00","17,380.55","17,553.00",172.45,0.99,31159,"54,33,93,018.24","20,609.15","16,255.00",2.77,-1.61
ULTRACEMCO,"6,603.00","6,688.85","6,565.05","6,602.30","6,656.05",53.75,0.81,216837,"1,43,79,74,080.83","8,269.00","5,629.20",-3.31,4.24
HCLTECH,"1,161.00","1,174.00","1,152.05","1,163.75","1,173.20",9.45,0.81,2479745,"2,88,60,26,420.80","1,377.75",891,16.66,4.85
ICICIBANK,725,738.3,723.1,730.3,736,5.7,0.78,12658848,"9,27,24,79,571.52",867,531.15,23.86,2.99
TATASTEEL,"1,310.00","1,340.90","1,305.45","1,307.20","1,317.15",9.95,0.76,5532159,"7,30,90,88,470.80","1,534.50",790.1,52.61,2.15
BRITANNIA,"3,210.00","3,237.90","3,191.65","3,206.40","3,227.00",20.6,0.64,260712,"83,93,98,783.68","4,153.00","3,050.00",-10.72,-4.75
BAJAJFINSV,"17,030.00","17,200.00","17,011.20","17,060.45","17,150.00",89.55,0.52,210141,"3,59,67,25,023.57","19,325.00","9,035.85",75.08,6.77
TCS,"3,748.00","3,763.00","3,728.05","3,739.95","3,759.00",19.05,0.51,1387014,"5,19,76,40,783.04","4,043.00","3,004.00",18.76,6
BHARTIARTL,759.8,766.65,749.25,754.95,758.35,3.4,0.45,5920139,"4,48,15,45,223.00",781.8,509.46,45.64,12.5
HINDALCO,569.9,577,561.45,569.5,571,1.5,0.26,15300787,"8,69,78,85,378.02",636,320.9,62.88,-4.93
GRASIM,"1,661.20","1,680.85","1,658.00","1,664.00","1,665.20",1.2,0.07,841336,"1,40,25,32,352.08","1,929.80","1,262.00",14.81,7.84
CIPLA,"1,023.00","1,025.90","1,006.00","1,018.05","1,018.65",0.6,0.06,1285646,"1,30,35,42,192.32","1,083.00",805,24.02,9.94
INFY,"1,886.85","1,910.30","1,878.30","1,906.85","1,906.80",-0.05,-,6171518,"11,69,26,81,433.16","1,953.90","1,311.30",37.42,11.79
JSWSTEEL,735,749.95,728.5,732.65,732.45,-0.2,-0.03,5079937,"3,74,63,01,139.39",776.5,461.3,43.92,13.59
SUNPHARMA,914,919,904.1,914.75,911.8,-2.95,-0.32,1184766,"1,07,77,34,239.56",931,592.75,48.78,10.7
APOLLOHOSP,"4,558.00","4,558.00","4,455.10","4,516.10","4,501.50",-14.6,-0.32,827880,"3,72,38,95,306.80","5,935.40","2,843.40",55.73,-7.29
TITAN,"2,538.00","2,550.00","2,491.85","2,536.15","2,526.00",-10.15,-0.4,1208002,"3,03,23,26,620.40","2,768.00","1,400.05",61.66,-2.77
DRREDDY,"4,295.00","4,334.65","4,263.00","4,295.45","4,278.00",-17.45,-0.41,313871,"1,34,86,84,854.74","5,614.60","3,654.00",-6.72,11.06
SBILIFE,"1,119.00","1,120.80","1,089.00","1,121.45","1,116.70",-4.75,-0.42,1519104,"1,67,70,14,860.80","1,293.25",864.8,26.02,-0.7
DIVISLAB,"4,425.00","4,443.15","4,335.10","4,402.05","4,375.00",-27.05,-0.61,348173,"1,52,26,19,718.41","5,425.10","3,561.65",21.12,5.26
TECHM,"1,499.00","1,502.65","1,475.45","1,499.45","1,489.00",-10.45,-0.7,2537230,"3,77,36,47,551.30","1,838.00",937,49.89,6.65
HEROMOTOCO,"2,185.00","2,246.00","2,150.00","2,294.15","2,246.00",-48.15,-2.1,3541517,"7,82,57,96,360.41","3,090.00","2,146.85",-24.22,-7.67